Feldstücknutzungsart Erklärung;2.Ebene;3.Ebene;Schlagnutzungsart
Ackerland;Hülsenfrüchte;Ackerbohnen;ACKERBOHNEN - GETREIDE GEMENGE
Ackerland;Hülsenfrüchte;Ackerbohnen;ACKERBOHNEN (PUFFBOHNEN)
Ackerland;Hülsenfrüchte;Ackerbohnen;ACKERBOHNEN (PUFFBOHNEN) / FELDGEMÜSE
Ackerland;Hülsenfrüchte;Ackerbohnen;ACKERBOHNEN / ERBSENGEMENGE
Ackerland;anderes Getreide;Amaranth;AMARANTH
Ackerland;andere Hülsenfrüchte;Lupinen;BITTERLUPINEN
Ackerland;andere Kulturen;Zierpflanzen;BLUMEN UND ZIERPFLANZEN
Ackerland;anderes Getreide;Buchweizen;BUCHWEIZEN
Ackerland;Energiepflanzen;Elefantengras;ELEFANTENGRAS (CHINASCHILF, MISCANTHUS SINENSIS)
Ackerland;anderes Getreide;Emmer oder Einkorn;EMMER ODER EINKORN (SOMMERUNG)
Ackerland;anderes Getreide;Emmer oder Einkorn;EMMER ODER EINKORN (SOMMERUNG) / FELDGEMÜSE
Ackerland;anderes Getreide;Emmer oder Einkorn;EMMER ODER EINKORN (WINTERUNG)
Ackerland;anderes Getreide;Emmer oder Einkorn;EMMER ODER EINKORN (WINTERUNG) / FELDGEMÜSE
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;ENERGIEGRAS
Ackerland;Getreide;Menggetreide;ERBSEN - GETREIDE GEMENGE
Ackerland;Getreide;Menggetreide;ERBSEN - GETREIDE GEMENGE / BUCHWEIZEN
Ackerland;Getreide;Menggetreide;ERBSEN - GETREIDE GEMENGE / FELDGEMÜSE
Ackerland;Feldobst;Erdbeeeren;ERDBEEREN
Ackerland;Feldgemüse;Feldgemüse Frischmarkt;ERDBEEREN / FELDGEMÜSE
Ackerland;andere Hülsenfrüchte;Esparsette;ESPARSETTE
Ackerland;Feldgemüse;Feldgemüse Frischmarkt;FELDGEMÜSE EINKULTURIG
Ackerland;Feldgemüse;Feldgemüse Frischmarkt;FELDGEMÜSE EINLEGEGURKEN
Ackerland;Feldgemüse;Feldgemüse Verarbeitung;FELDGEMÜSE FRISCHMARKT UND VERARBEITUNG MEHRKULTURIG
Ackerland;Feldgemüse;Feldgemüse Frischmarkt;FELDGEMÜSE MEHRKULTURIG
Ackerland;Feldgemüse;Feldgemüse Frischmarkt;FELDGEMÜSE OHNE ERNTE
Ackerland;Feldgemüse;Feldgemüse Verarbeitung;FELDGEMÜSE VERARBEITUNG EINKULTURIG
Ackerland;Feldgemüse;Feldgemüse Verarbeitung;FELDGEMÜSE VERARBEITUNG MEHRKULTURIG
Ackerland;Faserpflanzen;Flachs;FLACHS (FASERLEIN) ZUR FASERERZEUGUNG
Ackerland;Hackfrüchte;Frühkartoffeln;FRÜHKARTOFFELN
Ackerland;Hackfrüchte;Frühkartoffeln;FRÜHKARTOFFELN / BUCHWEIZEN
Ackerland;Hackfrüchte;Frühkartoffeln;FRÜHKARTOFFELN / FELDGEMÜSE
Ackerland;Getreide;Silomais;FRÜHKARTOFFELN / MAIS
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;FUTTERGRÄSER
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;FUTTERGRÄSER / FELDGEMÜSE
Ackerland;andere Hackfrüchte;Futterkartoffeln;FUTTERKARTOFFELN
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;FUTTERRÜBEN (RUNKELRÜBEN, BURGUND KOHLRÜBEN)
Ackerland;Feldgemüse;Feldgemüse Frischmarkt;GEMÜSE IM FOLIENTUNNEL
Ackerland;Feldgemüse;Feldgemüse Frischmarkt;GEMÜSE IM GEWÄCHSHAUS
Ackerland;Gewürz- und Heilpflanzen;Fenchel;GEWÜRZFENCHEL
Ackerland;Gewürz- und Heilpflanzen;Fenchel;GEWÜRZPFLANZEN
Ackerland;andere Kulturen;Ginko;GINKGO
Ackerland;Grünbrache (A);Grünbrache (A);GLÖZ GRABEN / UFERRANDSTREIFEN
Ackerland;Grünbrache (A);Grünbrache (A);GLÖZ NATURDENKMAL FLÄCHE
Ackerland;Grünbrache (A);Grünbrache (A);GLÖZ NATURDENKMAL PUNKT
Ackerland;Grünbrache (A);Grünbrache (A);GLÖZ STEINRIEGEL / STEINHAGE
Ackerland;Grünbrache (A);Grünbrache (A);GLÖZ TEICH / TÜMPEL
Ackerland;Grünbrache (A);Grünbrache (A);GRÜNBRACHE
Ackerland;Getreide;Silomais;GRÜNMAIS
Ackerland;Zwischenfrüchte;Grünschnittroggen;GRÜNSCHNITTROGGEN
Ackerland;Getreide;Sorghum/Hirse;GRÜNSCHNITTROGGEN / HIRSE
Ackerland;Getreide;Silomais;GRÜNSCHNITTROGGEN / MAIS
Ackerland;Ölsaaten;Ölsonnenblumen;GRÜNSCHNITTROGGEN / SONNENBLUME
Ackerland;andere Ölsaaten;Hanf;HANF
Ackerland;Gewürz- und Heilpflanzen;Heilpflanzen;HEILPFLANZEN
Ackerland;Getreide;Sorghum/Hirse;HIRSE
Ackerland;Gewürz- und Heilpflanzen;Johanniskraut;JOHANNISKRAUT
Ackerland;anderes Getreide;Kanariensaat;KANARIENSAAT
Ackerland;andere Hülsenfrüchte;Kicherberbsen;KICHERERBSEN
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;KLEE
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;KLEE / FELDGEMÜSE
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;KLEEGRAS
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;KLEEGRAS / FELDGEMÜSE
Ackerland;Hülsenfrüchte;Körnererbsen;KÖRNERERBSEN
Ackerland;Hülsenfrüchte;Körnererbsen;KÖRNERERBSEN / FELDGEMÜSE
Ackerland;Getreide;Körnermais;KÖRNERMAIS
Ackerland;andere Ölsaaten;Leindotter;LEINDOTTER
Ackerland;andere Hülsenfrüchte;Linsen;LINSEN
Ackerland;Landschaftselemente (A);LSE Bäume;LSE BÄUME / BÜSCHE
Ackerland;Landschaftselemente (A);LSE Feldgehölz;LSE FELDGEHÖLZ / BAUM- / GEBÜSCHGRUPPE
Ackerland;Landschaftselemente (A);LSE Hecke;LSE HECKE / UFERGEHÖLZ
Ackerland;Landschaftselemente (A);LSE Rain;LSE RAIN / BÖSCHUNG / TROCKENSTEINMAUER
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;LUZERNE
Ackerland;andere Ackerfutterflächen;Mähwiese;MÄHWIESE/-WEIDE DREI UND MEHR NUTZUNGEN
Ackerland;Getreide;Körnermais;MAIS / KÄFERBOHNEN IN GETRENNTEN REIHEN
Ackerland;Getreide;Corn-Cob-Mix;MAIS CORN-COB-MIX (CCM)
Ackerland;Getreide;Corn-Cob-Mix;MAIS CORN-COB-MIX (CCM) / FELDGEMÜSE
Ackerland;andere Ölsaaten;Mariendistel;MARIENDISTELN
Ackerland;Feldobst;Obst im Filientunnel;OBST IM FOLIENTUNNEL
Ackerland;Hackfrüchte;Öl- und Speisekürbis;ÖLKÜRBIS
Ackerland;andere Ölsaaten;Öllein;ÖLLEIN (NICHT ZUR FASERGEWINNUNG)
Ackerland;andere Ölsaaten;Öllein;ÖLLEIN (NICHT ZUR FASERGEWINNUNG) / FELDGEMÜSE
Ackerland;Zwischenfrüchte;Ölrettich;ÖLRETTICH
Ackerland;Zwischenfrüchte;Peluscheke;PELUSCHKE
Ackerland;Zwischenfrüchte;Phacelia;PHACELIA
Ackerland;Zwischenfrüchte;Platterbse;PLATTERBSEN
Ackerland;anderes Getreide;Quinoa;QUINOA
Ackerland;andere Kulturen;Rollrasen;ROLLRASEN
Ackerland;andere Hackfrüchte;Rübenvermehrung;RÜBENVERMEHRUNG
Ackerland;andere Hackfrüchte;Saatkartoffeln;SAATKARTOFFELN
Ackerland;Getreide;Saatmais;SAATMAISVERMEHRUNG
Ackerland;andere Ölsaaten;Senf;SENF
Ackerland;Getreide;Silomais;SILOMAIS
Ackerland;Ölsaaten;Sojabohnen;SOJABOHNEN
Ackerland;Ölsaaten;Sojabohnen;SOJABOHNEN / SOMMERWICKEN IN GETRENNTEN REIHEN
Ackerland;Getreide;Dinkel;SOMMERDINKEL (SPELZ)
Ackerland;Getreide;Sommergerste;SOMMERGERSTE
Ackerland;Getreide;Sommergerste;SOMMERGERSTE / BUCHWEIZEN
Ackerland;Getreide;Sommergerste;SOMMERGERSTE / FELDGEMÜSE
Ackerland;Getreide;Hafer;SOMMERHAFER
Ackerland;Getreide;Hafer;SOMMERHAFER / FELDGEMÜSE
Ackerland;Getreide;Hartweizen;SOMMERHARTWEIZEN (DURUM)
Ackerland;Getreide;Hartweizen;SOMMERHARTWEIZEN (DURUM) / BUCHWEIZEN
Ackerland;Getreide;Hartweizen;SOMMERHARTWEIZEN (DURUM) / FELDGEMÜSE
Ackerland;Gewürz- und Heilpflanzen;Kümmel;SOMMERKÜMMEL
Ackerland;Getreide;Menggetreide;SOMMERMENGGETREIDE
Ackerland;Getreide;Menggetreide;SOMMERMENGGETREIDE / FELDGEMÜSE
Ackerland;andere Ölsaaten;Mohn;SOMMERMOHN
Ackerland;Ölsaaten;Ölraps;SOMMERRAPS
Ackerland;Getreide;Roggen;SOMMERROGGEN
Ackerland;andere Ölsaaten;Rübsen;SOMMERRÜBSEN
Ackerland;Getreide;Triticale;SOMMERTRITICALE
Ackerland;Getreide;Weichweizen;SOMMERWEICHWEIZEN
Ackerland;andere Hülsenfrüchte;Wicken;SOMMERWICKEN
Ackerland;Ölsaaten;Ölsonnenblumen;SONNENBLUMEN
Ackerland;andere Kulturen;sonstige Ackerflächen;SONSTIGE ACKERFLÄCHEN
Ackerland;andere Kulturen;sonstige Ackerflächen;SONSTIGE ACKERKULTUREN
Ackerland;andere Kulturen;sonstige Kulturen im geschützten Anbau;SONSTIGE FLÄCHEN: GESCHÜTZTER ANBAU
Ackerland;andere Kulturen;sonstige Kulturen im geschützten Anbau;SONSTIGE KULTUREN IM FOLIENTUNNEL
Ackerland;andere Ölsaaten;Saflor;SONSTIGE ÖLFRÜCHTE (SAFLOR, ...)
Ackerland;Ackerfutterflächen gesamt;Ackerfutterflächen gesamt;SONSTIGES FELDFUTTER
Ackerland;Getreide;Sorghum/Hirse;SORGHUM
Ackerland;Hackfrüchte;Speiseindustriekartoffeln;SPEISEINDUSTRIEKARTOFFELN
Ackerland;Hackfrüchte;Speisekartoffeln;SPEISEKARTOFFELN
Ackerland;Hackfrüchte;Speisekartoffeln;SPEISEKARTOFFELN / FELDGEMÜSE
Ackerland;Hackfrüchte;Öl- und Speisekürbis;SPEISEKÜRBIS
Ackerland;Hackfrüchte;Stärkeindustriekartoffeln;STÄRKEINDUSTRIEKARTOFFELN
Ackerland;Energiepflanzen;Sudangras;SUDANGRAS
